ID,PN,AN,RT,ED,EU,AD,SR,EVENT,REDATA1,PH,PL,FK,FB,AP,LC,H4,H3,ZH,HL,LL,ZL,L3,L4,KR,IV,FM,FQ,TV,BV,KZ,DT,DB
,ZHNY_JS_MFXZ_1_02_GRIP,,AX,BW1N2逆变器.电网侧有功功率,kW,1.4.3004@E4801228A430#QP8RKJCB,INT32_H,0,,100,0,0.001,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,100,0,LINEAR,ENG,0.2
,ZHNY_JS_MFXZ_1_02_DCTOUTP,,AX,BW1N2逆变器.总直流输出功率,kW,1.4.3006@E4801228A430#QP8RKJCB,UINT32_H,0,,100,0,0.001,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,100,0,LINEAR,ENG,0.2
,ZHNY_JS_MFXZ_1_02_GENT,,AX,BW1N2逆变器.累计发电量,kWh,1.4.3008@E4801228A430#QP8RKJCB,UINT32_H,0,,100,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,100,0,LINEAR,ENG,0.2
,ZHNY_JS_MFXZ_1_02_GENM,,AX,BW1N2逆变器.当月发电量,kWh,1.4.3010@E4801228A430#QP8RKJCB,UINT32_H,0,,100,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,100,0,LINEAR,ENG,0.2
,ZHNY_JS_MFXZ_1_02_GENLM,,AX,BW1N2逆变器.上月发电量,kWh,1.4.3012@E4801228A430#QP8RKJCB,UINT32_H,0,,100,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,100,0,LINEAR,ENG,0.2
,ZHNY_JS_MFXZ_1_02_GEND,,AX,BW1N2逆变器.当日发电量,kWh,1.4.3014@E4801228A430#QP8RKJCB,UINT16_H,0,,100,0,0.1,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,100,0,LINEAR,ENG,0.2
,ZHNY_JS_MFXZ_1_02_GENYD,,AX,BW1N2逆变器.昨日发电量,kWh,1.4.3015@E4801228A430#QP8RKJCB,UINT16_H,0,,100,0,0.1,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,100,0,LINEAR,ENG,0.2
,ZHNY_JS_MFXZ_1_02_GENY,,AX,BW1N2逆变器.今年发电量,kWh,1.4.3016@E4801228A430#QP8RKJCB,UINT32_H,0,,100,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,100,0,LINEAR,ENG,0.2
,ZHNY_JS_MFXZ_1_02_GENLY,,AX,BW1N2逆变器.去年发电量,kWh,1.4.3018@E4801228A430#QP8RKJCB,UINT32_H,0,,100,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,100,0,LINEAR,ENG,0.2
,ZHNY_JS_MFXZ_1_02_ALMVAL,,AX,BW1N2逆变器.告警码,,1.4.3029@E4801228A430#QP8RKJCB,UINT16_H,0,,100,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,100,0,LINEAR,ENG,0.2
